benchmark,variant,input,instructions,cycles,exec-time(s),l1i-miss-ratio,l1d-miss-ratio,llc-miss-ratio,ipc
00_dna,serial,koala,5049988992,8110644310,709.284,0.0,0.05,0.54,0.6784
00_dna,parallel,koala,5444864238,10730844291,2181.76,0.0,0.07,4.98,0.4104
01_pass_gen,serial,koala,32707498823,15320668090,2280.7,0.0,0.0,1083.25,2.1352
01_pass_gen,parallel,koala,0,0,Timeout too low,,,,
02_integral,serial,koala,100000001289,64266643040,Timeout too low,0.0,0.0,,1.6444
02_integral,parallel,koala,100000006229,72033583191,Timeout too low,0.0,0.0,38803.18,1.419
03_text_search,serial,koala,876642,1288293,0.164208,0.0,0.03,1767.0,0.6977
03_text_search,parallel,koala,2713276,3705899,2.51559,0.01,0.02,0.74,0.7638
04_wordcount,serial,koala,41369644,38291249,4.00842,0.0,0.02,0.22,1.0202
04_wordcount,parallel,koala,64191879,58131066,6.83383,0.0,0.01,0.44,1.0903
05_grayscale_convert,serial,koala,118620610,67547037,11.7878,0.0,0.01,0.0,1.818
05_grayscale_convert,parallel,koala,1049737841,1183622235,2505.67,0.0,0.0,0.01,0.8824
06_edge_detection,serial,koala,185773436,131072165,22.4071,0.01,0.01,0.0,1.4293
06_edge_detection,parallel,koala,212246789,166875217,40.3956,0.01,0.01,0.01,1.2703
07_huffman_compression,serial,koala,54743543,45890193,4.82566,0.0,0.0,0.77,1.237
07_huffman_compression,parallel,koala,98441920,212710506,55.9576,0.0,0.06,0.03,0.5545
08_lzw_compression,serial,koala,296148793,309079182,28.3879,0.0,0.02,0.06,0.9367
08_lzw_compression,parallel,koala,296148795,309122347,27.6669,0.0,0.02,0.06,0.9366
09_btree,serial,koala,100000000579,117322919007,Timeout too low,0.0,0.07,0.0,0.8507
09_btree,parallel,koala,100000002813,120685666969,Timeout too low,0.0,0.07,0.0,0.827
10_web_search,serial,koala,1401523,935117,0.183072,0.0,0.0,,1.5711
10_web_search,parallel,koala,1943078,2090775,0.877226,0.0,0.01,0.06,1.0849
11_convex_hull,serial,koala,100000002518,57671820004,Timeout too low,0.0,0.03,0.87,1.7524
11_convex_hull,parallel,koala,100000000438,148085544310,Timeout too low,0.0,0.06,0.05,0.7265
12_knn,serial,koala,21299027417,15793082230,1547.97,0.0,0.0,12.06,1.3486
12_knn,parallel,koala,21126669280,16366920154,612.728,0.0,0.0,0.09,1.2901
13_svm,serial,koala,30299228105,19848414275,2034.29,0.0,0.05,0.0,1.5269
13_svm,parallel,koala,30301868273,19843576391,2015.56,0.0,0.05,0.0,1.5273
14_mem_allocator,serial,koala,1429797431,12603756062,5.46919,0.0,0.61,0.0,0.1116
14_mem_allocator,parallel,koala,1429797606,12603747101,5.46915,0.0,0.61,0.0,0.1116
15_pathfinding,serial,koala,100000001255,58940893002,Timeout too low,0.0,0.01,0.04,1.6933
15_pathfinding,parallel,koala,100000001614,58433733040,Timeout too low,0.0,0.01,0.04,1.7079
16_genai,serial,koala,63827253710,49744093240,4401.48,0.0,0.13,0.0,1.283
16_genai,parallel,koala,63835929289,49872332055,2126.29,0.0,0.13,0.0,1.28
17_mapreduce,serial,koala,76900983636,102456419254,7088.77,0.0,0.03,0.95,0.7525
17_mapreduce,parallel,koala,76785747669,112308294292,11590.6,0.0,0.03,1.73,0.7378
18_aes,serial,koala,38349415,18122156,3.25787,0.0,0.0,,2.1163
18_aes,parallel,koala,38443644,18450446,66.3399,0.0,0.0,0.71,2.0893
19_pricing,serial,koala,100000000494,69841801001,Timeout too low,0.0,0.0,2.5,1.4315
19_pricing,parallel,koala,100000002011,70195034157,Timeout too low,0.0,0.0,0.0,1.4313
20_gnn,serial,koala,7501535472,47470255307,3856.23,0.0,0.22,18.32,0.158
20_gnn,parallel,koala,8151535453,48098504232,3971.72,0.0,0.2,18.32,0.1695
21_krey,serial,koala,100000001418,30119796001,Timeout too low,0.0,0.0,,3.3201
21_krey,parallel,koala,100000028245,40357407079,Timeout too low,0.0,0.0,,2.4779
23_wasm,serial,koala,10369381496,4954268331,937.283,0.0,0.0,0.0,2.1034
23_wasm,parallel,koala,10374775183,5975080595,720.601,0.0,0.0,259.81,1.5888
24_ospo,serial,koala,3268247176,2727521247,347.841,0.0,0.02,0.05,1.0739
24_ospo,parallel,koala,3415945153,3058703179,253.356,0.0,0.01,0.16,1.066
25_anomaly_detection,serial,koala,59385750496,28900390010,5089.17,0.0,0.49,0.01,2.0545
25_anomaly_detection,parallel,koala,59475153634,29282971221,611.34,0.0,0.49,5.56,2.0311
26_qlearn,serial,koala,100000001439,58565424001,Timeout too low,0.0,0.0,0.0,1.7075
26_qlearn,parallel,koala,100000012442,55844799135,Timeout too low,0.0,0.0,,1.7907
27_carbon,serial,koala,100000001025,77453545002,Timeout too low,0.0,0.0,2544.04,1.2915
27_carbon,parallel,koala,100000019879,76251916225,Timeout too low,0.0,0.0,1602.88,1.3122
28_federated,serial,koala,100000002512,50295213002,Sim Time out,0.0,0.06,0.0,1.9777
28_federated,parallel,koala,100000012112,50877663387,Sim Time out,0.0,0.06,0.35,1.9596
29_vsp,serial,koala,100000000042,101806569258,Timeout too low,0.0,0.05,2251967.56,0.9823
29_vsp,parallel,koala,100000000493,100640400224,Timeout too low,0.0,0.05,2251064.74,0.9936
30_syntax_parsing,parallel,koala,100000011500,43705956456,Timeout too low,0.0,0.0,0.24,2.2889
31_bayesian,serial,koala,100000000752,92216714073,Timeout too low,0.0,0.01,1005.61,1.0844
31_bayesian,parallel,koala,100000015505,94730024546,Timeout too low,0.0,0.01,920.49,1.0557
