benchmark,variant,input,instructions,cycles,exec-time(s),l1i-miss-ratio,l1d-miss-ratio,llc-miss-ratio,ipc
00_dna,serial,koala,69747371089,39369764936,4429.22,0.0,0.01,0.73,1.5952
00_dna,parallel,koala,70215064071,42152116065,6238.2,0.0,0.01,2.75,1.5122
01_pass_gen,serial,koala,32709709444,15322460109,2245.48,0.0,0.0,625.86,2.1353
01_pass_gen,parallel,koala,85673674726,92155604393,Timeout too low,0.0,0.02,0.1,0.9302
02_integral,serial,koala,100000000198,64782195105,Timeout too low,0.0,0.0,,1.6429
02_integral,parallel,koala,100000015829,72232674262,Timeout too low,0.0,0.0,39336.43,1.4168
03_text_search,serial,koala,6204758,6100070,2.04078,0.0,0.02,1.25,1.1719
03_text_search,parallel,koala,8345008,8265636,4.28118,0.01,0.02,0.78,1.0376
04_wordcount,serial,koala,46960018,43032069,5.60211,0.0,0.02,0.2,1.0176
04_wordcount,parallel,koala,74949123,65320014,8.97727,0.0,0.01,0.16,1.1088
05_grayscale_convert,serial,koala,276423912,192237113,33.1268,0.0,0.01,0.55,1.6707
05_grayscale_convert,parallel,koala,452051193,451492813,Timeout too low,0.0,0.01,0.61,0.9834
06_edge_detection,serial,koala,344257191,256573776,44.438,0.01,0.01,0.37,1.472
06_edge_detection,parallel,koala,371828019,290149341,65.7366,0.01,0.01,0.27,1.358
07_huffman_compression,serial,koala,60128339,51233085,6.45948,0.0,0.0,0.86,1.2279
07_huffman_compression,parallel,koala,104609779,219921058,56.85,0.0,0.06,0.03,0.5566
08_lzw_compression,serial,koala,298563941,313217012,29.3734,0.0,0.02,0.05,0.9354
08_lzw_compression,parallel,koala,298563941,313217012,29.2257,0.0,0.02,0.05,0.9354
09_btree,serial,koala,100000000312,116168668001,Timeout too low,0.0,0.07,0.0,0.8475
09_btree,parallel,koala,100000007145,118997315099,Timeout too low,0.0,0.07,0.0,0.8271
10_web_search,serial,koala,3720748,4206026,1.83556,0.0,0.01,4.97,1.0329
10_web_search,parallel,koala,4400020,5087600,2.61012,0.01,0.02,1.05,0.9405
11_convex_hull,serial,koala,100000000593,69588061003,Timeout too low,0.0,0.03,0.5,1.8099
11_convex_hull,parallel,koala,100000005052,154899916121,Timeout too low,0.0,0.06,0.04,0.6392
12_knn,serial,koala,21670008405,15960074073,1548.8,0.0,0.0,0.23,1.3527
12_knn,parallel,koala,21499100470,16529074497,624.095,0.0,0.0,0.02,1.2946
13_svm,serial,koala,35213039848,22141178140,2527.82,0.0,0.05,0.0,1.5269
13_svm,parallel,koala,35215884882,22134249071,2493.66,0.0,0.05,0.0,1.5274
14_mem_allocator,serial,koala,1662252318,12742001008,5.47898,0.0,0.61,0.0,0.1116
14_mem_allocator,parallel,koala,1662252343,12741997048,5.47899,0.0,0.61,0.0,0.1116
15_pathfinding,serial,koala,100000000098,61611843003,Timeout too low,0.0,0.01,0.04,1.6474
15_pathfinding,parallel,koala,100000000392,60408884002,Timeout too low,0.0,0.01,0.04,1.6816
16_genai,serial,koala,63840043430,49751224006,4419.91,0.0,0.13,0.0,1.2832
16_genai,parallel,koala,63848730013,49876668460,1961.49,0.0,0.13,0.0,1.2801
17_mapreduce,serial,koala,100000000325,107414255007,Timeout too low,0.0,0.03,1.02,0.7423
17_mapreduce,parallel,koala,100000000642,117975460661,Timeout too low,0.0,0.03,2.74,0.733
18_aes,serial,koala,44372546,23466164,5.00957,0.0,0.0,0.01,2.1964
18_aes,parallel,koala,44477273,23937477,76.2531,0.0,0.0,1.0,1.9854
19_pricing,serial,koala,100000001168,69843241009,Timeout too low,0.0,0.0,0.0,1.4315
19_pricing,parallel,koala,100000002793,70197581103,Timeout too low,0.0,0.0,0.0,1.4313
20_gnn,serial,koala,44365001830,107664736341,10702.7,0.0,0.1,13.25,0.2418
20_gnn,parallel,koala,0,0,Timeout too low,1.0,1.0,1.0,1.0
21_krey,serial,koala,100000002642,35078013005,Timeout too low,0.0,0.0,,2.8657
21_krey,parallel,koala,100000002070,35088780004,Timeout too low,0.0,0.0,,2.8649
23_wasm,serial,koala,10371624777,4962081090,926.189,0.0,0.0,0.0,2.1039
23_wasm,parallel,koala,10377027433,5998325641,249.173,0.0,0.0,288.38,1.572
24_ospo,serial,koala,3270486977,2729878107,339.881,0.0,0.02,0.05,1.0741
24_ospo,parallel,koala,3418556055,3068860162,226.208,0.0,0.01,0.16,1.0632
25_anomaly_detection,serial,koala,100000000190,51726030009,Timeout too low,0.0,0.22,0.0,1.9277
25_anomaly_detection,parallel,koala,100000001165,51730463005,Timeout too low,0.0,0.22,0.0,1.9276
26_qlearn,serial,koala,100000000336,58652933001,Timeout too low,0.0,0.0,0.0,1.705
26_qlearn,parallel,koala,100000002201,55845711511,Timeout too low,0.0,0.0,,1.7907
27_carbon,serial,koala,100000001365,66571051004,Timeout too low,0.0,0.0,26.16,1.3879
27_carbon,parallel,koala,100000018873,69530676240,Timeout too low,0.0,0.0,81.49,1.3802
28_federated,serial,koala,100000001184,50336181034,Sim Time out,0.0,0.06,0.0,1.9752
28_federated,parallel,koala,100000013122,52039368210,Sim Time out,0.0,0.06,0.37,1.9136
29_vsp,serial,koala,100000000912,99714362191,Timeout too low,0.0,0.05,2246449.59,0.9871
29_vsp,parallel,koala,100000000340,99180011193,Timeout too low,0.0,0.05,1123169.81,0.9926
30_syntax_parsing,parallel,koala,100000011500,43705956456,Timeout too low,0.0,0.0,0.24,2.2889
31_bayesian,serial,koala,100000000752,92216714073,Timeout too low,0.0,0.01,1005.61,1.0844
31_bayesian,parallel,koala,100000015505,94730024546,Timeout too low,0.0,0.01,920.49,1.0557
